from	to	value	id
ABCB4	ACAA2	0.8514896867838043	GSE56140_cirr
A2M	ACSL1	0.8334606569900688	GSE56140_cirr
ACAA2	ACSL1	0.8029029793735676	GSE56140_cirr
ACADM	ACSL1	0.8514896867838043	GSE56140_cirr
ADAMTSL2	ADCY3	0.921466768525592	GSE56140_cirr
ACSM2B	ADH6	0.8383498854087089	GSE56140_cirr
ADAMTSL2	AEBP1	0.8077922077922078	GSE56140_cirr
ADCY3	AEBP1	0.8279602750190985	GSE56140_cirr
ABCA6	AIG1	0.8050420168067226	GSE56140_cirr
ACADSB	ALDH2	0.8658517952635599	GSE56140_cirr
ADH4	ALDH2	0.8829640947288006	GSE56140_cirr
AKR1D1	ALDH2	0.8462948815889991	GSE56140_cirr
ACADSB	ALDH5A1	0.812987012987013	GSE56140_cirr
AHSG	ALDH5A1	0.8120702826585179	GSE56140_cirr
ALDH2	ALDH5A1	0.8172650878533231	GSE56140_cirr
ALDH2	ALDH6A1	0.8276546982429335	GSE56140_cirr
ACADSB	ALDH8A1	0.9022154316271963	GSE56140_cirr
ADH4	ALDH8A1	0.8197097020626432	GSE56140_cirr
AKR1D1	ALDH8A1	0.8343773873185638	GSE56140_cirr
ALDH2	ALDH8A1	0.8768525592055003	GSE56140_cirr
ALDH5A1	ALDH8A1	0.8084033613445378	GSE56140_cirr
ACMSD	ALDOB	0.8102368220015278	GSE56140_cirr
ACOX2	ALDOB	0.8053475935828877	GSE56140_cirr
ADH4	AMBP	0.8001527883880825	GSE56140_cirr
AHSG	AMBP	0.8114591291061879	GSE56140_cirr
ALDH2	AMBP	0.8542398777692896	GSE56140_cirr
ALDH7A1	AMT	0.8270435446906035	GSE56140_cirr
AEBP1	ANXA1	0.8279602750190985	GSE56140_cirr
ALOX5AP	ANXA1	0.8108479755538578	GSE56140_cirr
ALDH2	AOX1	0.8484339190221544	GSE56140_cirr
ALDH6A1	AOX1	0.8334606569900688	GSE56140_cirr
AMBP	APOA1	0.8084033613445378	GSE56140_cirr
ACADM	APOH	0.8780748663101604	GSE56140_cirr
ACSL1	APOH	0.8288770053475936	GSE56140_cirr
AHSG	APOH	0.8016806722689075	GSE56140_cirr
AIG1	APOH	0.8692131398013752	GSE56140_cirr
AGXT2L1	AQP11	0.8200152788388082	GSE56140_cirr
A2M	AQP12A	0.8227654698242933	GSE56140_cirr
ACADM	AQP12A	0.8013750954927426	GSE56140_cirr
APOH	AQP12A	0.8313216195569136	GSE56140_cirr
APOH	ARG1	0.8212375859434682	GSE56140_cirr
ALOX5AP	ARHGAP15	0.8450725744843391	GSE56140_cirr
ALOX5AP	ARHGDIB	0.8316271963330787	GSE56140_cirr
ARHGAP15	ARHGDIB	0.8084033613445378	GSE56140_cirr
ADCY3	ARHGEF2	0.8044308632543926	GSE56140_cirr
AKR1B1	ARHGEF2	0.8536287242169596	GSE56140_cirr
ARHGAP4	ARHGEF2	0.8016806722689075	GSE56140_cirr
ACAT1	ASGR1	0.8279602750190985	GSE56140_cirr
ALDH2	ASS1	0.8169595110771581	GSE56140_cirr
ALDH7A1	ASS1	0.814209320091673	GSE56140_cirr
A1CF	AZGP1	0.8105423987776929	GSE56140_cirr
ACADSB	BAAT	0.8609625668449197	GSE56140_cirr
ALDH2	BAAT	0.8197097020626432	GSE56140_cirr
ALDH8A1	BAAT	0.8111535523300228	GSE56140_cirr
ALDH7A1	BBOX1	0.8233766233766234	GSE56140_cirr
ALDH7A1	BEX2	-0.8102368220015278	GSE56140_cirr
AMT	BEX2	-0.8230710466004584	GSE56140_cirr
ADAMTSL2	BGN	0.8783804430863255	GSE56140_cirr
ADCY3	BGN	0.8331550802139037	GSE56140_cirr
AEBP1	BGN	0.8756302521008402	GSE56140_cirr
ALDH7A1	BGN	-0.8261268143621084	GSE56140_cirr
ARHGEF2	BGN	0.815431627196333	GSE56140_cirr
ADAMTSL2	BHLHB5	0.8294881588999234	GSE56140_cirr
