from	to	value	id
AASS	ALDH6A1	0.8260840108401084	GSE62232_hep_carci
AEBP1	APLNR	0.822785598383468	GSE62232_hep_carci
ANLN	ASPM	0.8711014251103035	GSE62232_hep_carci
AEBP1	ASPN	0.8604735254123289	GSE62232_hep_carci
ANLN	AURKA	0.8489125771222586	GSE62232_hep_carci
AEBP1	BGN	0.8662563578671263	GSE62232_hep_carci
APLNR	BGN	0.8115965076487531	GSE62232_hep_carci
ASPN	BGN	0.8784941197865838	GSE62232_hep_carci
ANLN	BUB1B	0.9154295769673368	GSE62232_hep_carci
ASPM	BUB1B	0.8464457390802383	GSE62232_hep_carci
C1orf162	C1QA	0.8291933737640644	GSE62232_hep_carci
C1QA	C1QB	0.9557042436263982	GSE62232_hep_carci
C1orf162	C1QB	0.8760065517382898	GSE62232_hep_carci
C1QA	C1QC	0.962696342714205	GSE62232_hep_carci
C1QB	C1QC	0.9800857111954723	GSE62232_hep_carci
C1orf162	C1QC	0.8596943002287074	GSE62232_hep_carci
C1R	C1S	0.8154743421219748	GSE62232_hep_carci
AEBP1	C7	0.8661953565865238	GSE62232_hep_carci
ASPN	C7	0.8252019900190263	GSE62232_hep_carci
BGN	C7	0.8166265799597623	GSE62232_hep_carci
C1QA	CASP1	0.811540524841346	GSE62232_hep_carci
C1QB	CASP1	0.8040539790355871	GSE62232_hep_carci
ASPN	CCDC102B	0.8154450038440227	GSE62232_hep_carci
AEBP1	CCDC80	0.9174694284478262	GSE62232_hep_carci
APLNR	CCDC80	0.8096461722407352	GSE62232_hep_carci
ASPN	CCDC80	0.8353235432079253	GSE62232_hep_carci
BGN	CCDC80	0.862306484997217	GSE62232_hep_carci
C7	CCDC80	0.8393389495794314	GSE62232_hep_carci
AEBP1	CCL21	0.8156729863233921	GSE62232_hep_carci
C7	CCL21	0.8041691198157324	GSE62232_hep_carci
CCDC80	CCL21	0.812183768395027	GSE62232_hep_carci
C16orf54	CCL5	0.8186582359339856	GSE62232_hep_carci
ANLN	CCNA2	0.9146830326471276	GSE62232_hep_carci
ASPM	CCNA2	0.8266918099797875	GSE62232_hep_carci
AURKA	CCNA2	0.8375489786470037	GSE62232_hep_carci
BUB1B	CCNA2	0.926876238186053	GSE62232_hep_carci
ANLN	CCNB1	0.9069926319202805	GSE62232_hep_carci
ASPM	CCNB1	0.8018089737420095	GSE62232_hep_carci
AURKA	CCNB1	0.8411389081927456	GSE62232_hep_carci
BUB1B	CCNB1	0.8949157576153958	GSE62232_hep_carci
CCNA2	CCNB1	0.9192115946103137	GSE62232_hep_carci
C1QA	CD163	0.8988736135473481	GSE62232_hep_carci
C1QB	CD163	0.9070182386994564	GSE62232_hep_carci
C1QC	CD163	0.9154861985590725	GSE62232_hep_carci
