from	to	value	id
A1BG	AADACP1	-0.9057792600832963	GSE62232_Non_tumoral
A1BG	ABCB4	0.915151515151515	GSE62232_Non_tumoral
AADAT	ABCC2	0.806060606060606	GSE62232_Non_tumoral
AADAC	ABCG5	0.806060606060606	GSE62232_Non_tumoral
ABCB4	ABCG5	0.8545454545454544	GSE62232_Non_tumoral
ABCG5	ABCG8	0.903030303030303	GSE62232_Non_tumoral
ABCG2	ACADL	0.8787878787878787	GSE62232_Non_tumoral
ABCA6	ACADSB	0.8181818181818181	GSE62232_Non_tumoral
ABCG1	ACE2	-0.8303030303030301	GSE62232_Non_tumoral
AASS	ACMSD	0.9515151515151513	GSE62232_Non_tumoral
ACAA1	ACOT12	0.8303030303030301	GSE62232_Non_tumoral
ABCA6	ACOX2	0.8545454545454544	GSE62232_Non_tumoral
ACADSB	ACOX2	0.9636363636363636	GSE62232_Non_tumoral
AADACP1	ACSL1	0.8267515394048878	GSE62232_Non_tumoral
AADAT	ACSL1	0.903030303030303	GSE62232_Non_tumoral
ABCC2	ACSL1	0.8424242424242423	GSE62232_Non_tumoral
ACADSB	ACSL5	0.8666666666666666	GSE62232_Non_tumoral
ACOX2	ACSL5	0.8181818181818181	GSE62232_Non_tumoral
A1BG	ACSM2A	-0.903030303030303	GSE62232_Non_tumoral
AADACP1	ACSM2A	0.8510677611520904	GSE62232_Non_tumoral
ABCB4	ACSM2A	-0.8787878787878787	GSE62232_Non_tumoral
ACADSB	ACSM2B	0.8787878787878787	GSE62232_Non_tumoral
ACOX2	ACSM2B	0.8303030303030301	GSE62232_Non_tumoral
ABCA6	ACSM3	0.8666666666666666	GSE62232_Non_tumoral
ACADSB	ACSM3	0.9515151515151513	GSE62232_Non_tumoral
ACOX2	ACSM3	0.9636363636363636	GSE62232_Non_tumoral
ACSM2B	ACSM3	0.8545454545454544	GSE62232_Non_tumoral
ABCG5	ACSS3	0.903030303030303	GSE62232_Non_tumoral
ABCG8	ACSS3	0.8424242424242423	GSE62232_Non_tumoral
ACAA1	ACSS3	0.915151515151515	GSE62232_Non_tumoral
AACS	ADAMTS1	-0.8370221386594626	GSE62232_Non_tumoral
ABCG2	ADD3	0.8666666666666666	GSE62232_Non_tumoral
ACADL	ADD3	0.8666666666666666	GSE62232_Non_tumoral
ACSL1	ADD3	0.8303030303030301	GSE62232_Non_tumoral
ABCB1	ADH1B	0.8424242424242423	GSE62232_Non_tumoral
ACADSB	ADH1C	0.903030303030303	GSE62232_Non_tumoral
ACOX2	ADH1C	0.903030303030303	GSE62232_Non_tumoral
ACSM2B	ADH1C	0.8545454545454544	GSE62232_Non_tumoral
ACSM3	ADH1C	0.8303030303030301	GSE62232_Non_tumoral
ADH1B	ADH1C	0.8424242424242423	GSE62232_Non_tumoral
ABCA6	ADH4	0.903030303030303	GSE62232_Non_tumoral
ACOX2	ADH4	0.806060606060606	GSE62232_Non_tumoral
ACSM3	ADH4	0.8303030303030301	GSE62232_Non_tumoral
ADH1C	ADH4	0.8424242424242423	GSE62232_Non_tumoral
ABCA6	ADH6	0.8303030303030301	GSE62232_Non_tumoral
ACADSB	ADH6	0.9272727272727271	GSE62232_Non_tumoral
ACOX2	ADH6	0.8787878787878787	GSE62232_Non_tumoral
ACSM2B	ADH6	0.9636363636363636	GSE62232_Non_tumoral
ACSM3	ADH6	0.915151515151515	GSE62232_Non_tumoral
ADH1C	ADH6	0.8545454545454544	GSE62232_Non_tumoral
ADH4	ADH6	0.8303030303030301	GSE62232_Non_tumoral
AADAT	ADHFE1	0.806060606060606	GSE62232_Non_tumoral
ACSL1	ADHFE1	0.8909090909090908	GSE62232_Non_tumoral
ADD3	ADHFE1	0.8909090909090908	GSE62232_Non_tumoral
ACSM2B	ADIRF	0.806060606060606	GSE62232_Non_tumoral
ABLIM3	ADM	0.806060606060606	GSE62232_Non_tumoral
ABCG1	ADRB2	0.8303030303030301	GSE62232_Non_tumoral
ADIRF	ADRB2	0.8181818181818181	GSE62232_Non_tumoral
ACSL5	AEBP1	-0.8632258720256918	GSE62232_Non_tumoral
ABCG1	AF070581	0.8292837093139817	GSE62232_Non_tumoral
ABAT	AFM	0.8666666666666666	GSE62232_Non_tumoral
ABCA6	AFM	0.8666666666666666	GSE62232_Non_tumoral
ADAMTS1	AFP	-0.8389096502784892	GSE62232_Non_tumoral
AF070581	AGBL2	0.9756278933105668	GSE62232_Non_tumoral
AADACP1	AGL	0.8024353176576852	GSE62232_Non_tumoral
ABCB1	AGL	0.8787878787878787	GSE62232_Non_tumoral
ABCC2	AGL	0.8424242424242423	GSE62232_Non_tumoral
ACSL1	AGL	0.8181818181818181	GSE62232_Non_tumoral
